Object,X,Y,Z,Time
Jupiter,    7.7651E+11,    5.7327E+10,    0.0000E+00,            4380000.
Sun,    2.0472E+06,    5.0849E+04,    0.0000E+00,            4440000.
Jupiter,    7.7646E+11,    5.8111E+10,    0.0000E+00,            4440000.
Sun,    2.1029E+06,    5.2940E+04,    0.0000E+00,            4500000.
Jupiter,    7.7640E+11,    5.8895E+10,    0.0000E+00,            4500000.
Sun,    2.1594E+06,    5.5089E+04,    0.0000E+00,            4560000.
Jupiter,    7.7634E+11,    5.9678E+10,    0.0000E+00,            4560000.
Sun,    2.2166E+06,    5.7295E+04,    0.0000E+00,            4620000.
Jupiter,    7.7628E+11,    6.0462E+10,    0.0000E+00,            4620000.
Sun,    2.2745E+06,    5.9558E+04,    0.0000E+00,            4680000.
Jupiter,    7.7622E+11,    6.1246E+10,    0.0000E+00,            4680000.
Sun,    2.3332E+06,    6.1881E+04,    0.0000E+00,            4740000.
Jupiter,    7.7616E+11,    6.2029E+10,    0.0000E+00,            4740000.
Sun,    2.3927E+06,    6.4263E+04,    0.0000E+00,            4800000.
Jupiter,    7.7609E+11,    6.2813E+10,    0.0000E+00,            4800000.
Sun,    2.4529E+06,    6.6706E+04,    0.0000E+00,            4860000.
Jupiter,    7.7603E+11,    6.3596E+10,    0.0000E+00,            4860000.
Sun,    2.5138E+06,    6.9210E+04,    0.0000E+00,            4920000.
Jupiter,    7.7597E+11,    6.4379E+10,    0.0000E+00,            4920000.
Sun,    2.5755E+06,    7.1775E+04,    0.0000E+00,            4980000.
Jupiter,    7.7590E+11,    6.5163E+10,    0.0000E+00,            4980000.
Sun,    2.6380E+06,    7.4404E+04,    0.0000E+00,            5040000.
Jupiter,    7.7584E+11,    6.5946E+10,    0.0000E+00,            5040000.
Sun,    2.7011E+06,    7.7095E+04,    0.0000E+00,            5100000.
Jupiter,    7.7577E+11,    6.6729E+10,    0.0000E+00,            5100000.
Sun,    2.7651E+06,    7.9851E+04,    0.0000E+00,            5160000.
Jupiter,    7.7570E+11,    6.7512E+10,    0.0000E+00,            5160000.
Sun,    2.8297E+06,    8.2671E+04,    0.0000E+00,            5220000.
Jupiter,    7.7564E+11,    6.8295E+10,    0.0000E+00,            5220000.
Sun,    2.8952E+06,    8.5557E+04,    0.0000E+00,            5280000.
Jupiter,    7.7557E+11,    6.9078E+10,    0.0000E+00,            5280000.
Sun,    2.9613E+06,    8.8510E+04,    0.0000E+00,            5340000.
Jupiter,    7.7550E+11,    6.9861E+10,    0.0000E+00,            5340000.
Sun,    3.0282E+06,    9.1530E+04,    0.0000E+00,            5400000.
Jupiter,    7.7543E+11,    7.0644E+10,    0.0000E+00,            5400000.
Sun,    3.0959E+06,    9.4617E+04,    0.0000E+00,            5460000.
Jupiter,    7.7536E+11,    7.1427E+10,    0.0000E+00,            5460000.
Sun,    3.1643E+06,    9.7773E+04,    0.0000E+00,            5520000.
Jupiter,    7.7529E+11,    7.2210E+10,    0.0000E+00,            5520000.
Sun,    3.2334E+06,    1.0100E+05,    0.0000E+00,            5580000.
